10116,10,#521# 坚守是最长情的告白！表白基金经理，赢取100元,华夏基金,05-23 09:49
10049,16,#520告白季#我爱红色的涨幅，也爱你 告白接龙赢心动好,博时小姐姐,05-21 17:43
9499,9,#赢京东卡# 中加基金表白季，你们想表白谁呢？,中加基金,05-22 16:30
9255,4,留言送积分！3000亿规模“航母”团队“舰长”首度亮相,国泰君安资产管理,05-23 10:48
378386,356,#2021原创帖评选#单篇最高得百元 提笔即可参与 数量不,天天精华君,05-18 20:39
5923,9,5.20操作：指数早盘低开震荡，白酒板块领涨，分享个人,基金花絮,05-23 20:45
2151,6,对下周行情简单说几个观点1、大盘没有系统性风险，不,凯哥爱吃鱼,05-23 20:45
315,1,小红养鸡通知篇基金盛极而衰之临介点,宾勇哥,05-23 20:43
127,0,端午节前有一段行情,顺手牵牛a,05-23 20:37
455,1,从叶飞曝光公募潜规则，想基金黑幕，老鼠仓骇人，基金,阿静实战,05-23 20:34
2669,30,没有那么多常胜将军，我自认为最近学习够努力了，还是,森林小动物,05-23 20:33
283,0,跟踪一年的基金观察员告诉你，新出炉的公募REITs值得,基遇人生,05-23 20:28
3771,0,双休消息汇集，下周大盘还能往上吗,吉小財,05-23 20:14
1508,3,做功课！招商白酒A，鹏华酒A，近一年各阶段收益率对比,少量分批均衡配置,05-23 20:12
586,4,长绿,有梦一定会实现,05-23 19:54
355,2,茅台代码谁知道，发个过来好吗，谢谢,基民7HZdtO,05-23 19:54
448,5,为什么别人白酒指数171625涨我的亏?什么原因?谁能告诉,鸿福w,05-23 19:48
7284,127,有计划的亏本，凭运气挣的钱，凭实力亏回去。我凭吹牛,赵明朋,05-23 19:44
8842,42,新能源车获利20%减仓止盈，白酒、医疗继续吃肉,伯牙子论基,05-23 19:43
266,0,[基金行情走势图],清水河5,05-23 19:34
5847,96,度，男人在于度，女人在于韵。男人有度，胸怀天下，女,赵明朋,05-23 19:27
3872,18,之前获利二十多万，3月18号涨时清零。19号大跌再入，,基民2006妮,05-23 19:20
1946,6,开车不断左右变道的司机未必跑得快，但必定增加了危险,少量分批均衡配置,05-23 19:19
2731,1,基金长期持有，多久才算长期？,搬砖小浪哥,05-23 19:14
15642,663,昨日账户基金收1.8万，新能源前天卖飞了[微笑]。今日,梦幻蜜雪,05-23 19:07
282,0,八月分红？,小投怡情2020,05-23 19:06
263,0,下周涨,励志戴红帽,05-23 18:57
401,2,别让我失望20W的本能不能起飞就看你了,如果没有如果911,05-23 18:56
1768,9,众所周知白酒吧内大V多，小白请问众大V：我8万元入市,九天兜率宫,05-23 18:48
2435,1,新手买基金的2大误区！,基金复基金,05-23 18:48
1760,2,周评：顺周期退潮大消费活跃，下周冲关靠券商？,老司基一枚,05-23 18:29
14439,16,当前我看好的四个细分行业,fund小确幸,05-23 18:09
1275,11,大家给推荐两个优秀的医疗鸡？,我只是来交学费的,05-23 18:01
382,2,没开市好无聊[想一下],基民9TxdGk,05-23 18:01
263,0,？,小韭菜割完再长,05-23 17:56
918,1,5.23.上周盘面回顾及下周点评！！,投基老黎,05-23 17:30
1405,15,高中生，今天又加仓了两百，大伙咋看,养基的高中生,05-23 17:22
2139,27,小红养鸡优质基金统计之吾见,宾勇哥,05-23 17:19
680,10,周一大概率要跌看3455周一周二大概率要跌的不信回头看,基民3Y67835t97,05-23 17:19
2287,9,建议九！一直走弱的基金，拉大补仓的时间间隔，或暂停,少量分批均衡配置,05-23 16:59
616,1,现在白酒太危险了，所有的人都在问白酒，假如星期一白,股往金来A888888,05-23 16:54
398,0,酷,景德木石,05-23 16:40
430,2,下周有没有大一点的回调呢？,时间的金色玫瑰,05-23 16:34
370,2,重仓新能源明天是涨还是跌[鼓掌],基民WVA8KQ,05-23 16:31
265,0,满上，我还能喝,基民WVA8KQ,05-23 16:25
410,3,我要等至少15.4以上减仓,粉红火鸡777,05-23 16:12
3848,37,联合国悼念袁隆平5月22日晚，联合国发文悼念袁隆平院,少量分批均衡配置,05-23 16:04
952,8,明天大概率回调看低点3440等着瞧吧,基民3Y67835t97,05-23 16:02
1623,7,久违的大涨行情，市场全面开花。白酒医疗新能源领涨，,做合格投资者,05-23 15:58
12795,31,【打分帖】5.21创业板、医疗、白酒、证券的操作建议,滨哥哥啊,05-23 15:51
323,0,加仓，冲。以后就重仓etf，基金或者股票混合不容易被,股友07395rl259,05-23 15:40
676,1,老甄今日干货分享 值得一读再读的均线理论：搞懂技术,zlim518168,05-23 15:39
2765,7,5.21午盘：快跑！从4月26号的看空到5月10号的看多，如,ETF趋势投基,05-23 15:36
564,5,今年的520来盘一盘投资界黄金CP巴菲特与芒格的“神仙,聪明投资者,05-23 15:36
1726,7,5.20午盘：继续看好市场向上的力量虽然快一周时间没有,ETF趋势投基,05-23 15:36
484,7,年前后跌成狗的韭菜盒子们，现在应该都回本了吧,飞天小老弟,05-23 15:36
1335,9,5月20日基金策略|你会表白哪只基金？,阳光空气与你,05-23 15:36
3735,8,操作策略丨半导体，医药，证券，新能源车！5.21各位看,股神的徒弟基神,05-23 15:36
1870,6,5月21日基金策略|止盈20%仓位,阳光空气与你,05-23 15:36
618,8,等C等得好幸苦哈哈哈这下终于有了,阳光正好通,05-23 15:36
3650,53,#520小情书#初见不知你的美，再见时已深爱初次遇见你,买鸡的小裁缝,05-23 15:36
4886,21,建议一！发帖时止，没有任何机构与个人敢于明确预言未,少量分批均衡配置,05-23 15:36
513,6,涨价这么好的题材都没稳住，说明上方的抛压盘太重，周,基民6C8371829A,05-23 15:36
2946,7,震荡下行，证券、半导体、白酒、医药的操作更新,豆包有力量,05-23 15:36
402,6,翻越千山万水总是情,胖老鼠么么哒,05-23 15:36
1406,7,5.21阿基午评好家伙！钢铁煤炭有色，连续的利空正在往,百万日记,05-23 15:36
2341,8,“N年定开”和“N年持有期”傻傻分不清 这两类基金有,金宝街观市,05-23 15:36
8777,7,创业板跌逾1%，接下来的减仓策略是什么？,西瓜看盘,05-23 15:36
4032,25,大家快进来看看，[献花][献花][献花]昨天已经提醒小粉,秋名山老司机明歌,05-23 15:36
1190,6,5.21，早评！！！,投基老黎,05-23 15:36
420,7,前天跌的时候出了一点，后悔当初,多多的小红帽,05-23 15:36
1998,7,5/20日报：核心资产回归，白酒为何重振？,养基司令,05-23 15:36
9946,9,医疗、钢铁、半导体板块分析及策略！,股海上的明灯,05-23 15:36
467,9,白酒-永远的神，医药涨白酒就涨，新能源涨白酒就涨，,我不跟傻子玩,05-23 15:36
6468,9,基金收评丨大盘坚守3500点，近期策略如何？,戴少然,05-23 15:36
454,7,还能进吗？,基民82f108K382,05-23 15:36
3772,8,大涨的白酒、医药、科技今天要减仓吗，似有一波行情要,一神白夜,05-23 15:36
6351,6,板块方面：白酒：白酒休整两天，今日继续上涨。两只个,波哥养基,05-23 15:36
8287,7,5.20：白酒、医疗、新能源车、半导体等策略分享,是空小白啊,05-23 15:36
4305,6,5.20午间板块行情分析：白酒大涨，新能源5连阳，资源,今晚吃鸡2018,05-23 15:36
491,9,王者就是王者，股市千变万化，唯有白酒永恒不变，一个,czcyh,05-23 15:36
6490,10,券商连续冲高回落，现在还能持有吗？,西瓜看盘,05-23 15:36
6020,29,大家请看图！上周老司机已经着重提醒大家。这周白酒将,秋名山老司机明歌,05-23 15:36
544,7,今天没吃到肉[哭],基民m8N2hF,05-23 15:36
7346,7,钢铁大跌破位！怎么办？资源股现在还能参与吗？,西瓜看盘,05-23 15:36
,,,,
,,,,
